ZONE_ID;STADSDELEN;BC;GEBIED_ACTWAG;ZONE_VENOM;GEM2014;GEMEENTE;BUURT_ZONENAAM;PC4;LAND;PROV;COROP;HAVEN_IND;XCOORD;YCOORD;OPP;HUISH;INK_GEM;ACT_WAG;INWONERS;M_00_05;M_06_11;M_12_14;M_15_17;M_18_34;M_35_54;M_55_64;M_65_74;M_75_EO;V_00_05;V_06_11;V_12_14;V_15_17;V_18_34;V_35_54;V_55_64;V_65_74;V_75_EO;BBV_MAN;WERKZ_M;PT_MAN;BBV_VROUW;WERKZ_V;PT_VROUW;HOWEEK;MBOWEEK;HOWKND;MBOWKND;BANENTOT2;ZELFST;BANENTOT;LANDBOUW;INDUSTRIE;DETAIL;DIENSTEN;OVERHEID;OVERIG;BASIS_OW;SPEC_OW;VOORTG_OW;MBO;HBO_WO;hotelbedden;PT_KP;PZT_H;PZT_B;AVert;AAank;
4672;12;Z99z;0;3099;5;Bedum;Verspreide_huizen_Bedum;0;1;2;3;0;235871;590866;4478;4422;41606;5509;10493;310;349;192;212;969;1291;791;719;385;341;336;173;219;861;1328;796;706;515;2632;2444;391;2246;2074;1263;185;272;12;0;2607;447;3054;292;826;345;604;171;816;831;0;0;0;0;0;0;0.0;0.0;1;1;
4673;12;Z99z;0;3100;9;Ten_Boer;Verspreide_huizen_ten_noorden_van_het_Eemskanaal;0;1;2;3;0;242222;588870;4547;3020;42711;4129;7295;213;295;139;154;606;974;531;464;244;229;250;131;146;567;1004;502;454;392;1781;1674;151;1424;1306;582;120;204;9;3;1596;350;1946;215;423;99;248;146;815;673;0;0;0;0;0;0;0.0;0.0;1;1;
4674;12;Z99z;0;3101;40;Slochteren;Verspreide_huizen_Overschild;0;1;2;3;0;249196;583660;14739;6278;39861;9123;14773;512;531;280;298;1229;2127;1105;936;481;468;528;265;285;1101;2079;1066;853;629;3648;3449;421;2857;2669;1481;194;354;11;4;2833;851;3684;500;655;333;609;365;1222;1293;0;172;0;0;0;0;0.0;0.0;1;1;
4675;12;Z99z;0;3102;40;Slochteren;Verspreide_huizen_in_de_Hooilandspolder;0;1;2;3;0;245725;577568;1091;620;40525;938;1407;38;42;17;26;122;180;126;116;51;44;34;25;26;128;179;120;91;42;357;340;44;292;275;153;10;39;0;0;1534;101;1635;33;950;65;79;9;499;82;0;0;0;0;0;0;0.0;0.0;1;1;
4676;12;Z99z;0;3103;10;Delfzijl;Verspreide_huizen_Termunten;0;1;2;2;0;260231;590725;8262;2708;37512;3955;5751;105;174;83;89;535;816;496;426;242;143;163;89;89;441;752;457;395;256;1573;1473;155;1151;1055;534;63;153;4;2;4479;282;4761;203;2908;84;758;143;665;404;0;323;336;0;0;0;0.0;0.0;1;1;
4677;12;Z99z;0;3104;10;Delfzijl;Delfzijl-Noord;0;1;2;2;0;256250;594795;971;7283;34985;7316;15293;439;472;237;255;1394;1774;1139;1000;902;410;414;225;223;1281;1769;1090;1038;1231;3622;3388;365;2859;2624;1314;214;395;5;11;5231;328;5559;6;336;730;388;434;3665;1139;0;668;0;0;0;0;0.0;0.0;1;1;
4678;12;Z99z;0;3105;10;Delfzijl;Verspreide_huizen_Bierum;0;1;2;2;0;252189;600027;4545;1603;40750;2357;3642;94;120;59;64;309;491;320;272;135;86;106;80;76;259;471;301;258;141;949;881;96;723;667;338;52;114;2;2;583;175;758;216;125;48;79;43;247;266;0;0;0;0;0;0;0.0;0.0;1;1;
4679;12;Z99z;0;3106;3;Appingedam;Verspreide_huizen_ten_noorden_van_het_Damsterdiep;0;1;2;2;0;253036;593486;2454;5531;35373;5962;11671;295;361;231;211;1020;1394;859;801;547;293;340;171;208;945;1498;894;828;775;2890;2793;240;2419;2310;961;156;327;4;3;4062;343;4405;83;910;713;759;406;1534;910;130;995;179;0;0;0;0.0;0.0;1;1;
4680;12;Z99z;0;3107;24;Loppersum;Verspreide_huizen_t_Zandt;0;1;2;2;0;244316;595663;11169;4273;39571;5579;9536;242;330;153;186;848;1221;819;691;377;248;301;148;172;728;1201;778;636;457;2250;2202;249;1647;1607;860;150;237;3;1;2037;495;2532;477;413;239;318;248;837;750;0;0;0;0;0;0;0.0;0.0;1;1;
4681;12;Z99z;0;3108;1651;Eemsmond;Verspreide_huizen_Uithuizermeeden;0;1;2;3;0;239440;602651;16084;6500;36596;7912;13910;338;421;270;296;1236;1788;1078;998;644;350;424;231;270;1085;1706;1037;974;764;3370;3227;429;2593;2472;1413;208;404;7;0;3822;614;4436;537;1019;503;378;540;1459;1011;0;1077;0;0;0;0;0.0;0.0;1;1;
4682;12;Z99z;0;3109;1651;Eemsmond;Eemshavengebied;0;1;2;3;0;249118;605778;3325;616;38593;918;1415;42;49;30;24;161;206;118;91;48;40;39;18;28;124;166;96;91;44;396;381;50;269;253;145;19;31;0;0;891;86;977;82;513;12;20;54;296;65;0;0;0;0;0;0;0.0;0.0;1;1;
4683;12;Z99z;0;3110;119;Meppel;Verspreid_gebied_Nijeveen;0;1;3;9;0;207693;527587;2558;1575;44195;2205;3856;117;117;93;100;315;514;279;258;143;106;138;94;94;278;520;260;239;191;987;931;116;792;738;395;74;132;6;1;716;219;935;190;217;88;170;40;230;319;0;0;0;0;0;0;0.0;0.0;1;1;
4684;12;Z99z;0;3111;119;Meppel;Verspreid_gebied_Meppel_Noord;0;1;3;9;0;209416;524164;1085;6118;34558;6047;11476;297;345;152;171;1233;1494;721;660;471;308;311;175;167;1337;1495;770;682;687;3037;2870;322;2684;2497;1273;205;212;15;4;7715;661;8376;70;2115;1091;1252;663;3185;1136;110;471;0;522;0;57;0.0;0.0;1;1;
4685;12;Z99z;0;3112;119;Meppel;Verspreid_gebied_Meppel_Noord_2;0;1;3;9;0;210416;523162;983;7497;44871;9392;18013;564;719;377;357;1549;2520;1166;968;589;572;692;404;398;1513;2594;1185;1033;813;4552;4288;493;3959;3683;1942;362;427;20;16;8578;814;9392;9;1808;444;2102;874;4155;1678;112;3830;1252;0;0;0;0.0;0.0;1;1;
4686;12;Z99z;0;3113;119;Meppel;Broekhuizen;0;1;3;9;0;214287;522621;1060;131;50023;257;337;6;10;4;5;35;50;30;24;15;7;9;3;6;35;42;29;16;11;99;91;10;76;69;37;13;3;0;0;595;39;634;36;110;30;61;0;397;0;0;0;0;0;0;0;0.0;0.0;1;1;
