[('Deletio;GEOMETRY
24;POLYGON ((628308.4287720344 5803739.244979073, 628457.4083349282 5803731.2512346525, 628527.3364827689 5803727.852947553, 628543.841700706 5803701.796422458, 628454.6409588899 5803648.737759988, 628452.8117951421 5803594.198895136, 628330.6482673199 5803519.413801666, 628303.5985325885 5803550.437142646, 628308.4287720344 5803739.244979073))
25;POLYGON ((628457.4083349282 5803731.2512346525, 628466.6248032999 5804117.860244593, 628563.4983572955 5804113.76291058, 628540.7765726447 5803891.194182526, 628527.3364827689 5803727.852947553, 628457.4083349282 5803731.2512346525))
26;POLYGON ((628457.4083349282 5803731.2512346525, 628308.4287720344 5803739.244979073, 628318.2749480756 5804124.134806775, 628466.6248032999 5804117.860244593, 628457.4083349282 5803731.2512346525))
27;POLYGON ((628318.2749480756 5804124.134806775, 628308.4287720344 5803739.244979073, 628172.6843856634 5803739.915330873, 628175.7530917368 5803892.2425322225, 628181.8692431436 5804064.020693337, 628181.219893319 5804077.572925534, 628182.1137144985 5804129.397818957, 628318.2749480756 5804124.134806775))
28;POLYGON ((628322.9726493258 5804307.7766131675, 628318.2749480756 5804124.134806775, 628182.1137144985 5804129.397818957, 628188.451287602 5804304.276801928, 628208.7502925643 5804313.132165187, 628322.9726493258 5804307.7766131675))
29;POLYGON ((628469.683267728 5804246.819618795, 628466.6248032999 5804117.860244593, 628318.2749480756 5804124.134806775, 628322.9726493258 5804307.7766131675, 628345.9988700416 5804306.696981239, 628401.2388617476 5804268.819131273, 628437.0860017146 5804250.148710004, 628469.683267728 5804246.819618795))
30;POLYGON ((628466.6248032999 5804117.860244593, 628469.683267728 5804246.819618795, 628584.2547187349 5804232.934875106, 628564.3517036298 5804128.9653262785, 628563.4983572955 5804113.76291058, 628466.6248032999 5804117.860244593))
31;POLYGON ((628469.683267728 5804246.819618795, 628471.4146216252 5804319.822831159, 628515.2413946226 5804402.094225107, 628610.78242834 5804371.292250147, 628584.2547187349 5804232.934875106, 628469.683267728 5804246.819618795))
32;POLYGON ((628515.2413946226 5804402.094225107, 628471.4146216252 5804319.822831159, 628469.683267728 5804246.819618795, 628437.0860017146 5804250.148710004, 628401.2388617476 5804268.819131273, 628345.9988700416 5804306.696981239, 628322.9726493258 5804307.7766131675, 628324.4042506163 5804363.74148903, 628381.9475089122 5804471.903987889, 628515.2413946226 5804402.094225107))
33;POLYGON ((628381.9475089122 5804471.903987889, 628324.4042506163 5804363.74148903, 628322.9726493258 5804307.7766131675, 628208.7502925643 5804313.132165187, 628188.451287602 5804304.276801928, 628191.3507967935 5804389.309316743, 628227.8418390552 5804458.668470653, 628271.3347286409 5804537.973182044, 628381.9475089122 5804471.903987889))
34;POLYGON ((628505.6178493383 5804704.364122495, 628381.9475089122 5804471.903987889, 628271.3347286409 5804537.973182044, 628297.923186657 5804590.167353885, 628389.428169959 5804764.978095089, 628505.6178493383 5804704.364122495))
35;POLYGON ((628638.6047380216 5804633.67158904, 628515.2413946226 5804402.094225107, 628381.9475089122 5804471.903987889, 628505.6178493383 5804704.364122495, 628638.6047380216 5804633.67158904))
36;POLYGON ((628515.2413946226 5804402.094225107, 628638.6047380216 5804633.67158904, 628746.5409208615 5804577.871368905, 628623.8604834037 5804387.138336835, 628610.78242834 5804371.292250147, 628515.2413946226 5804402.094225107))
