,id,lat,long,weight
0,1,4.900186579420189,52.37590109148702,1659.5593262682853
1,2,4.896985039203927,52.37454284605727,1051.0814456147132
2,3,4.895325338996583,52.37307425352955,1053.82771423044
3,4,4.897997499873136,52.37308326007037,580.1971363744717
4,5,4.899203457969048,52.37266764417453,1047.3083584969859
5,6,4.895622400281577,52.36927238216406,3704.3312294470584
6,7,4.895443445984954,52.37063435405033,344.58880088995227
7,8,4.8937200305097495,52.370852565673005,1226.5872003643499
8,9,4.900392956470548,52.379001982511035,1972.5650105671311
9,10,4.894931306110871,52.37811192096785,1108.680877984978
10,11,4.896179594666866,52.377208880472054,770.4824517981231
11,12,4.897698779241605,52.37675958657788,630.6732474589064
12,13,4.8938810432818505,52.37516025535575,1617.3478804751176
13,14,4.891716627103453,52.37564752566502,867.090203631453
14,15,4.889907022009686,52.37382454497037,285.99107699479356
15,16,4.892203786196197,52.37349795933635,544.8655576429433
16,17,4.889531151432784,52.3727710954045,253.69006966651796
17,18,4.889409477813515,52.37136865977316,474.1755533785488
18,19,4.891640011602204,52.37168909063877,969.456746335801
19,20,4.890918243780928,52.36977341143412,595.4891082668946
20,21,4.888723403142183,52.36938760032348,347.70787959345967
21,22,4.891309543017343,52.367925503241544,958.8899244010961
22,23,4.8835032873947055,52.36765773765242,521.2753582014429
23,24,4.885808127971711,52.36806965892388,358.2727915260434
24,25,4.8875674433052065,52.37058160942384,319.5472977360771
25,26,4.885860206027171,52.37056081857085,1097.2888852506373
26,27,4.883770908457183,52.370639487529466,634.6667370395189
27,28,4.883996137178196,52.373200670611396,269.5715957371483
28,29,4.885980375384384,52.3730016933384,207.776353083669
29,30,4.8879012996897195,52.372793158216695,198.83626659825072
30,31,4.888219650398926,52.3739836510305,254.20370234393098
31,32,4.886404676888992,52.37442476371995,249.96817163867482
32,33,4.8844238984352994,52.374922084953155,217.7144196283991
33,34,4.886120445259572,52.376779295527705,517.8598230762931
34,35,4.8878993947463165,52.376148633686,583.9103209091272
35,36,4.889632973330349,52.375642602460715,351.51309973176905
36,37,4.8918713917390475,52.377818730834775,733.2511288254467
37,38,4.889926655093841,52.37832170031004,673.4807303998134
38,39,4.888105707910218,52.37896405758007,740.284100828267
39,40,4.891317082702066,52.36668965079081,555.0679189816971
40,41,4.894596173803116,52.36656759128317,510.59558656975145
41,42,4.898003459093151,52.366197264096954,1537.6309543871782
42,43,4.8987862836763885,52.364583986617625,588.2099675798697
43,44,4.899193288229874,52.363045860453525,916.6954617156774
44,45,4.894048101349569,52.362716269648395,639.9232842556249
45,46,4.894273201457392,52.36426934524107,497.8744222442799
46,47,4.894418199758167,52.36542259959531,322.9864157204015
47,48,4.890948156905602,52.36600425549543,397.99569332195716
48,49,4.891268282099358,52.36467147865599,335.05576027825646
49,50,4.890371179610356,52.363213668359315,760.2843500169055
50,51,4.887116794759296,52.36444288455735,616.3374109438452
51,52,4.888633017429096,52.36559400158007,450.41046885384173
52,53,4.888050614894164,52.36759809141959,224.6929722212373
53,54,4.886551363180946,52.366781661192,303.396840453772
54,55,4.884666623701833,52.366008308431645,369.8206656118478
55,56,4.9039205515303035,52.36705387086296,805.0888158166179
56,57,4.901095906406254,52.36800563312507,1315.8982068015146
57,58,4.898597128058824,52.369348483921115,1155.614119283361
58,59,4.901262038648999,52.37185824483222,695.4615619255395
59,60,4.90287567059406,52.371243687003826,310.22489667617185
60,61,4.9041685410001685,52.37254414663737,298.9847430736375
61,62,4.902635576496654,52.375011815559,558.7245686019085
62,63,4.906160355818838,52.37422701416641,530.9288034051027
63,64,4.907744587747512,52.37688045516559,3475.49745317551
64,65,4.9117298423012254,52.373408687029425,138.2714527144255
65,66,4.90989018070166,52.371560234055565,709.9815659783638
66,67,4.90496956612428,52.37060463262221,695.9847712819553
67,68,4.9053631099377455,52.36967290275643,1316.7638725211434
68,69,4.907695173192532,52.36896479785118,1194.1182050691527
69,70,4.892042803246983,52.3803960494815,1757.9084118691403
70,71,4.894008670850022,52.38186625268855,1459.4743665683495
71,72,4.892926194613834,52.38536214543788,2120.9187504330353
72,73,4.8885328514211,52.387633980750884,368.4769799930138
73,74,4.884367808152816,52.38707459055827,232.96180777554306
74,75,4.889612728251905,52.38491974808864,600.9938442102406
75,76,4.8865360093308805,52.38572558450164,681.9598798794079
76,77,4.885770784613999,52.38405162327739,504.2613451112193
77,78,4.885014019497878,52.38315111287979,799.4150098741768
78,79,4.888868752664705,52.38237019736214,232.313110179257
79,80,4.88788510700413,52.38153993760919,462.99995651046504
80,81,4.882859588708156,52.38495241373471,264.4945299799858
81,82,4.8835464136452975,52.381988006159766,760.4916509262466
82,83,4.886219838011382,52.37975381936672,489.4851856453547
83,84,4.882139100890609,52.37896802448386,941.0617644365113
84,85,4.884018537623901,52.38063177727791,1277.9625363483392
85,86,4.880560821380977,52.38116088043405,764.3867258615381
86,87,4.877440176029738,52.376006765116195,521.5532391885488
87,88,4.880090707452242,52.3766490810894,958.3326470262855
88,89,4.883970643023593,52.37764431191941,1077.2070079237913
89,90,4.880727592398606,52.37528054623308,755.5535129446449
